id,skills
1,"python programming, data analysis,pandas"
2,"javascript, react, web development"
3,"machine learning, scikit-learn, tensorflow"
4,"ui design, figma, user research"
5,"database management, sql, postgresql"
6,"cloud computing, aws, docker"
7,"mobile development, flutter, dart"
8,"cybersecurity, network security, encryption"
9,"game development, unity, c#"
10,"devops, jenkins, kubernetes"
11,"data visualization, tableau, power bi"
12,"embedded systems, c++, microcontrollers"
13,"blockchain, solidity, smart contracts"
14,"quality assurance, selenium, test automation"
15,"natural language processing, nltk, spacy"
